ciiu_code,ciiu_name,ciiu_level,sector,ciiu_name_en
A,Agricultura,section,Primario,"Agriculture, forestry and fishing"
B,Minas y canteras,section,Primario,Mining and quarrying
C,Manufactura,section,Secundario,Manufacturing
D,Electricidad,section,Secundario,"Electricity, gas, steam and air conditioning supply"
E,Agua,section,Secundario,"Water supply; sewerage, waste management and remediation activities"
F,Construcción,section,Secundario,Construction
G,Comercio,section,Terciario,Wholesale and retail trade; repair of motor vehicles and motorcycles
H,Transporte,section,Terciario,Transportation and storage
I,Alojamiento,section,Terciario,Accommodation and food service activities
J,Información y comunicaciones,section,Terciario,Information and communication
K,Financiero,section,Terciario,Financial and insurance activities
L,Inmobiliario,section,Terciario,Real estate activities
M,Act. Profesionales,section,Terciario,"Professional, scientific and technical activities"
N,Servicios admin.,section,Terciario,Administrative and support service activities
M-N,Act. Profesionales y servicios admin.,section,Terciario,"Professional, scientific, technical and administrative services"
O,Admin. Publica,section,Terciario,Public administration and defence; compulsory social security
P,Educación,section,Terciario,Education
Q,Salud,section,Terciario,Human health and social work activities
R-S-U,Otros servicios,section,Terciario,Other services
T,Servicios hogares,section,Terciario,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
R,Arte,section,Terciario,"Arts, entertainment and recreation"
S,Otros servicios,section,Terciario,Other service activities
U,Extraterritoriales,section,Terciario,Activities of extraterritorial organizations and bodies
A01,"Agricultura, Ganadería, Caza Y Actividades De Servicios Conexas.",division,,"Crop and animal production, hunting and related service activities"
A02,Silvicultura Y Extracción De Madera.,division,,Forestry and logging
A03,Pesca Y Acuicultura.,division,,Fishing and aquaculture
B05,Extracción De Carbón De Piedra Y Lignito.,division,,Mining of coal and lignite
B06,Extracción De Petróleo Crudo Y Gas Natural.,division,,Extraction of crude petroleum and natural gas
B07,Extracción De Minerales Metalíferos.,division,,Mining of metal ores
B08,Explotación De Otras Minas Y Canteras.,division,,Other mining and quarrying
B09,Actividades De Servicios De Apoyo Para La Explotación De Minas Y Canteras.,division,,Mining support service activities
C10,Elaboración De Productos Alimenticios.,division,,Manufacture of food products
C11,Elaboración De Bebidas.,division,,Manufacture of beverages
C12,Elaboración De Productos De Tabaco.,division,,Manufacture of tobacco products
C13,Fabricación De Productos Textiles.,division,,Manufacture of textiles
C14,Fabricación De Prendas De Vestir.,division,,Manufacture of wearing apparel
C15,Fabricación De Cueros Y Productos Conexos.,division,,Manufacture of leather and related products
C16,"Producción De Madera Y Fabricación De Productos De Madera Y Corcho, Excepto Muebles; Fabricación De Artículos De Paja Y De Materiales Trenzables.",division,,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
C17,Fabricación De Papel Y De Productos De Papel.,division,,Manufacture of paper and paper products
C18,Impresión Y Reproducción De Grabaciones.,division,,Printing and reproduction of recorded media
C19,Fabricación De Coque Y De Productos De La Refinación Del Petróleo.,division,,Manufacture of coke and refined petroleum products
C20,Fabricación De Substancias Y Productos Químicos.,division,,Manufacture of chemicals and chemical products
C21,"Fabricación De Productos Farmacéuticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmacéutico.",division,,Manufacture of basic pharmaceutical products and pharmaceutical preparations
C22,Fabricación De Productos De Caucho Y Plástico.,division,,Manufacture of rubber and plastics products
C23,Fabricación De Otros Productos Minerales No Metálicos.,division,,Manufacture of other non-metallic mineral products
C24,Fabricación De Metales Comunes.,division,,Manufacture of basic metals
C25,"Fabricación De Productos Elaborados De Metal, Excepto Maquinaria Y Equipo.",division,,"Manufacture of fabricated metal products, except machinery and equipment"
C26,"Fabricación De Productos De Informática, Electrónica Y Óptica.",division,,"Manufacture of computer, electronic and optical products"
C27,Fabricación De Equipo Eléctrico.,division,,Manufacture of electrical equipment
C28,Fabricación De Maquinaria Y Equipo N.C.P.,division,,Manufacture of machinery and equipment n.e.c.
C29,"Fabricación De Vehículos Automotores, Remolques Y Semirremolques.",division,,"Manufacture of motor vehicles, trailers and semi-trailers"
C30,Fabricación De Otros Tipos De Equipos De Transporte.,division,,Manufacture of other transport equipment
C31,Fabricación De Muebles.,division,,Manufacture of furniture
C32,Otras Industrias Manufactureras.,division,,Other manufacturing
C33,Reparación E Instalación De Maquinaria Y Equipo.,division,,Repair and installation of machinery and equipment
D35,"Suministro De Electricidad, Gas, Vapor Y Aire Acondicionado.",division,,"Electricity, gas, steam and air conditioning supply"
E36,"Captación, Tratamiento Y Distribución De Agua.",division,,"Water collection, treatment and supply"
E37,Evacuación De Aguas Residuales.,division,,Sewerage
E38,"Recolección, Tratamiento Y Eliminación De Desechos, Recuperación De Materiales.",division,,"Waste collection, treatment and disposal activities; materials recovery"
E39,Actividades De Descontaminación Y Otros Servicios De  Gestión De Desechos.,division,,Remediation activities and other waste management services
F41,Construcción De Edificios.,division,,Construction of buildings
F42,Obras De Ingeniería Civil.,division,,Civil engineering
F43,Actividades Especializadas De La Construcción.,division,,Specialized construction activities
G45,Comercio Y Reparación De Vehículos Automotores Y Motocicletas.,division,,Wholesale and retail trade and repair of motor vehicles and motorcycles
G46,"Comercio Al Por Mayor, Excepto El De Vehículos Automotores Y Motocicletas.",division,,"Wholesale trade, except of motor vehicles and motorcycles"
G47,"Comercio Al Por Menor, Excepto El De Vehículos Automotores Y Motocicletas.",division,,"Retail trade, except of motor vehicles and motorcycles"
H49,Transporte Por Vía Terrestre Y Por Tuberías.,division,,Land transport and transport via pipelines
H50,Transporte Por Vía Acuática.,division,,Water transport
H51,Transporte Por Vía Aérea.,division,,Air transport
H52,Almacenamiento Y Actividades De Apoyo Al Transporte.,division,,Warehousing and support activities for transportation
H53,Actividades Postales Y De Mensajería.,division,,Postal and courier activities
I55,Actividades De Alojamiento.,division,,Accommodation
I56,Servicio De Alimento Y Bebida.,division,,Food and beverage service activities
J58,Actividades De Publicación.,division,,Publishing activities
J59,"Actividades De Producción De Películas Cinematográficas, Vídeos Y Programas De Televisión, Grabación De Sonido Y Edición De Música.",division,,"Motion picture, video and television programme production, sound recording and music publishing activities"
J60,Actividades De Programación Y Transmisión.,division,,Programming and broadcasting activities
J61,Telecomunicaciones.,division,,Telecommunications
J62,"Programación Informática, Consultoría De Informática Y Actividades Conexas.",division,,"Computer programming, consultancy and related activities"
J63,Actividades De Servicios De Información.,division,,Information service activities
K64,"Actividades De Servicios Financieros, Excepto Las De Seguros Y Fondos De Pensiones.",division,,"Financial service activities, except insurance and pension funding"
K65,"Seguros, Reaseguros Y Fondos De Pensiones, Excepto Los Planes De Seguridad Social De Afiliación Obligatoria.",division,,"Insurance, reinsurance and pension funding, except compulsory social security"
K66,Actividades Auxiliares De Las Actividades De Servicios Financieros.,division,,Activities auxiliary to financial service and insurance activities
L68,Actividades Inmobiliarias.,division,,Real estate activities
M69,Actividades Jurídicas Y De Contabilidad.,division,,Legal and accounting activities
M70,Actividades De Oficinas Principales; Actividades De Consultoría De Gestión.,division,,Activities of head offices; management consultancy activities
M71,Actividades De Arquitectura E Ingeniería; Ensayos Y Análisis Técnicos.,division,,Architectural and engineering activities; technical testing and analysis
M72,Investigación Científica Y Desarrollo.,division,,Scientific research and development
M73,Publicidad Y Estudios De Mercado.,division,,Advertising and market research
M74,"Otras Actividades Profesionales, Científicas Y Técnicas.",division,,"Other professional, scientific and technical activities"
M75,Actividades Veterinarias.,division,,Veterinary activities
N77,Actividades De Alquiler Y Arrendamiento.,division,,Rental and leasing activities
N78,Actividades De Empleo.,division,,Employment activities
N79,"Actividades De Agencias De Viajes, Operadores Turísticos, Servicios De Reservas Y Actividades Conexas.",division,,"Travel agency, tour operator, reservation service and related activities"
N80,Actividades De Seguridad E Investigación.,division,,Security and investigation activities
N81,Actividades De Servicios A Edificios Y Paisajismo.,division,,Services to buildings and landscape activities
N82,Actividades Administrativas Y De Apoyo De Oficina Y Otras Actividades De Apoyo A Las Empresas.,division,,"Office administrative, office support and other business support activities"
O84,Administración Pública Y Defensa; Planes De Seguridad Social De Afiliación Obligatoria.,division,,Public administration and defence; compulsory social security
P85,Enseñanza.,division,,Education
Q86,Actividades De Atención De La Salud Humana.,division,,Human health activities
Q87,Actividades De Atención En Instituciones.,division,,Residential care activities
