isic_code,isic_name,section_code,section_name,division_code,group_code,tradable_atlas,confidence_atlas,mixed_atlas,tradable_regional,confidence_regional,mixed_regional,rationale,entry_regime,confidence_entry,mixed_entry,rationale_entry
0111,"Growing of cereals (except rice), leguminous crops and oil seeds",A,"Agriculture, forestry and fishing",01,011,tradable,0.96,False,tradable,0.96,False,"Primary agricultural/forestry/fishing output (growing of cereals (except rice), leguminous crops and oil seeds) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.",open_market,0.93,False,"Primary production (Growing of cereals (except rice), leguminous crops and oil seeds) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0112,Growing of rice,A,"Agriculture, forestry and fishing",01,011,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of rice) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of rice) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0113,"Growing of vegetables and melons, roots and tubers",A,"Agriculture, forestry and fishing",01,011,tradable,0.96,False,tradable,0.96,False,"Primary agricultural/forestry/fishing output (growing of vegetables and melons, roots and tubers) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.",open_market,0.93,False,"Primary production (Growing of vegetables and melons, roots and tubers) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0114,Growing of sugar cane,A,"Agriculture, forestry and fishing",01,011,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of sugar cane) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of sugar cane) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0115,Growing of tobacco,A,"Agriculture, forestry and fishing",01,011,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of tobacco) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of tobacco) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0116,Growing of fibre crops,A,"Agriculture, forestry and fishing",01,011,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of fibre crops) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of fibre crops) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0119,Growing of other non-perennial crops,A,"Agriculture, forestry and fishing",01,011,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of other non-perennial crops) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of other non-perennial crops) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0121,Growing of grapes,A,"Agriculture, forestry and fishing",01,012,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of grapes) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of grapes) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0122,Growing of tropical and subtropical fruits,A,"Agriculture, forestry and fishing",01,012,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of tropical and subtropical fruits) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of tropical and subtropical fruits) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0123,Growing of citrus fruits,A,"Agriculture, forestry and fishing",01,012,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of citrus fruits) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of citrus fruits) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0124,Growing of pome fruits and stone fruits,A,"Agriculture, forestry and fishing",01,012,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of pome fruits and stone fruits) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of pome fruits and stone fruits) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0125,Growing of other tree and bush fruits and nuts,A,"Agriculture, forestry and fishing",01,012,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of other tree and bush fruits and nuts) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of other tree and bush fruits and nuts) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0126,Growing of oleaginous fruits,A,"Agriculture, forestry and fishing",01,012,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of oleaginous fruits) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of oleaginous fruits) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0127,Growing of beverage crops,A,"Agriculture, forestry and fishing",01,012,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of beverage crops) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of beverage crops) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0128,"Growing of spices, aromatic, drug and pharmaceutical crops",A,"Agriculture, forestry and fishing",01,012,tradable,0.96,False,tradable,0.96,False,"Primary agricultural/forestry/fishing output (growing of spices, aromatic, drug and pharmaceutical crops) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.",open_market,0.93,False,"Primary production (Growing of spices, aromatic, drug and pharmaceutical crops) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0129,Growing of other perennial crops,A,"Agriculture, forestry and fishing",01,012,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (growing of other perennial crops) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Growing of other perennial crops) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0130,Plant propagation,A,"Agriculture, forestry and fishing",01,013,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (plant propagation) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Plant propagation) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0141,Raising of cattle and buffaloes,A,"Agriculture, forestry and fishing",01,014,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (raising of cattle and buffaloes) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Raising of cattle and buffaloes) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0142,Raising of horses and other equines,A,"Agriculture, forestry and fishing",01,014,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (raising of horses and other equines) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Raising of horses and other equines) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0143,Raising of camels and camelids,A,"Agriculture, forestry and fishing",01,014,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (raising of camels and camelids) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Raising of camels and camelids) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0144,Raising of sheep and goats,A,"Agriculture, forestry and fishing",01,014,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (raising of sheep and goats) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Raising of sheep and goats) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0145,Raising of swine/pigs,A,"Agriculture, forestry and fishing",01,014,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (raising of swine/pigs) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Raising of swine/pigs) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0146,Raising of poultry,A,"Agriculture, forestry and fishing",01,014,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (raising of poultry) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Raising of poultry) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0149,Raising of other animals,A,"Agriculture, forestry and fishing",01,014,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (raising of other animals) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Raising of other animals) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0150,Mixed farming,A,"Agriculture, forestry and fishing",01,015,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (mixed farming) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Mixed farming) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
0161,Support activities for crop production,A,"Agriculture, forestry and fishing",01,016,tradable,0.96,False,tradable,0.96,False,Primary agricultural/forestry/fishing output (support activities for crop production) is a physical commodity shipped to national and export markets; tradable under both Atlas and regional definitions.,open_market,0.93,False,"Primary production (Support activities for crop production) is entered by ordinary private investment: land or water access, stock and working capital, with sanitary/phytosanitary registration (Agrocalidad) as supervision rather than an entry quota. Where it can happen is agronomy, not an allocation decision."
