id_code,id_name,id_abbr,region,year,total_pop,share_working_age,avg_schooling,share_nbi_poor,share_rural,share_indigenous,share_inmigrant,share_outmigrant,net_migration_rate,share_inmigrant_5y,share_outmigrant_5y,net_migration_rate_5y
01,AZUAY,AZU,Sierra,2022,801609,0.6544188001881216,11.584780212208901,0.25746736586525826,0.47587789059254576,0.019949875812272568,0.13307485320149848,0.13197303317425452,0.005502682729360574,0.02810846684605587,0.02095564443552897,0.0090817343617649
02,BOLÍVAR,BOL,Sierra,2022,199078,0.6316569384864225,10.544037417545178,0.5856255635083336,0.6776539848702519,0.29499492661167986,0.14405911250866493,0.43052877740204243,-0.4986588171470479,0.03488582364701273,0.05060829864374916,-0.012442359276263575
03,CAÑAR,CAÑ,Sierra,2022,227578,0.6179287980384747,10.315227278167413,0.39183837102238434,0.5557654957860602,0.1470792431605867,0.21258205977730713,0.21733955628067453,-0.0016565748886096195,0.029462426069303712,0.026372602766309438,0.0055761101688212395
04,CARCHI,CAR,Sierra,2022,172828,0.661576827828824,10.658520972964832,0.3335797783159464,0.491072048510658,0.04243525354687898,0.11451269470224733,0.39341252652914194,-0.40996829217487907,0.034907538130395536,0.04625194362241059,-0.007776517693892193
05,COTOPAXI,COT,Sierra,2022,470210,0.6482720486591098,10.587957253830417,0.4856153041565811,0.6672103953552668,0.23701324939920462,0.1541609068288637,0.27654015984660624,-0.16483273431020182,0.03965674911209885,0.0348975053836855,0.007915612173284277
06,CHIMBORAZO,CHI,Sierra,2022,471933,0.6450385965804468,11.005715562132655,0.42754507050633667,0.5239430173350879,0.3787698677566519,0.11099245019949866,0.2949020810962827,-0.25563162567567854,0.035310096984105796,0.04015608371763037,-0.001868909357896142
07,EL ORO,ORO,Costa,2022,714592,0.6579166853253325,11.55358609067768,0.3658355095049561,0.2146217701849447,0.005349905960324213,0.18809474497335543,0.16889517563344977,0.029024954099682056,0.02336718015315033,0.02743077556343858,-0.0015323429313510368
08,ESMERALDAS,ESM,Costa,2022,553900,0.6121068784979238,10.658486491064624,0.6297115865013398,0.5512077992417403,0.033529517963531326,0.15670698682072576,0.27077798831240646,-0.1500523560209424,0.02557862430041524,0.0499572500212269,-0.02009749052175483
09,GUAYAS,GUA,Costa,2022,4391923,0.6590088214205941,11.789549578712908,0.3911442563022973,0.14742084503758376,0.012874998036167757,0.14568379272587428,0.07585147349510615,0.07743714996824853,0.01167506807382552,0.013941624452496202,-0.0010100359227609408
10,IMBABURA,IMB,Sierra,2022,469879,0.6610020877715327,11.069666146471965,0.326615683102214,0.4772526544067728,0.28005507800944496,0.1527393222510476,0.22507243061137308,-0.08384924629532284,0.030790905743819152,0.030410343281119655,0.002939054522547294
11,LOJA,LOJ,Sierra,2022,485421,0.6384725835923868,11.578216992497152,0.39364123256155265,0.39570187527939665,0.03562474635419564,0.07776548604201301,0.33224505880926397,-0.37380541838939807,0.02780679039431751,0.040535409151319535,-0.010018107992855687
12,LOS RÍOS,RIO,Costa,2022,898652,0.6380200567071569,10.55731993279119,0.6138259368127243,0.4600546151346684,0.006632155717674918,0.1678636446588891,0.25185948384837503,-0.10904888655452834,0.021616821639522308,0.02845222817621646,-0.004238570659165061
