codigo_clase,display_code,class_name,class_name_es,codigo_seccion,codigo_division,sector,gsector,gsector_label,plazas_equiv_estab_nat,fte_share_nat,plazas_equiv_estab_nat_pctile,n_estab_nat,wage_per_fte,wage_premium,wage_per_fte_pctile,wage_per_fte_pctile_gsector,fte_per_firm,fte_per_firm_premium,fte_per_firm_pctile,fte_per_firm_pctile_gsector,n_firms,quadrant
0111,A0111,"Growing of cereals (except rice), leguminous crops and oil seeds","Cultivo De Cereales (Excepto Arroz), Legumbres Y Semillas Oleaginosas.",A,01,Primario,1,"Agricultura, ganadería, silvicultura y pesca",3664.0833333333367,0.001250835521515639,66.74757281553399,1792,7818.651811975203,0.7890579531566235,46.30541871921182,86.11111111111111,4.603684971098265,0.8357992234401588,47.53694581280788,52.77777777777778,692.0,"few jobs, poorly paid"
0112,A0112,Growing of rice,Cultivo De Arroz.,A,01,Primario,1,"Agricultura, ganadería, silvicultura y pesca",2103.7500000000005,0.0007181728658978437,54.12621359223301,1268,5810.678930591258,0.5864134295378439,8.12807881773399,13.88888888888889,1.8160597572362283,0.32970573450356194,11.083743842364532,11.11111111111111,714.0,"few jobs, poorly paid"
0113,A0113,"Growing of vegetables and melons, roots and tubers","Cultivo De Hortalizas Y Melones, Raíces Y Tubérculos.",A,01,Primario,1,"Agricultura, ganadería, silvicultura y pesca",2836.9166666666665,0.000968459452317698,60.679611650485434,1150,6987.064058064676,0.705134158268386,32.01970443349754,66.66666666666666,5.902435446009391,1.0715874333606779,55.41871921182266,66.66666666666666,568.0,"many jobs, poorly paid"
0114,A0114,Growing of sugar cane,Cultivo De Caña De Azúcar.,A,01,Primario,1,"Agricultura, ganadería, silvicultura y pesca",1608.8333333333333,0.0005492194632213812,49.75728155339806,579,6448.7888852548385,0.6508114545201729,21.67487684729064,44.44444444444444,4.2662790697674415,0.7745431661541291,43.84236453201971,50.0,430.0,"few jobs, poorly paid"
0115,A0115,Growing of tobacco,Cultivo De Tabaco.,A,01,Primario,1,"Agricultura, ganadería, silvicultura y pesca",3015.4999999999995,0.0010294237799714542,61.6504854368932,102,6651.227193027192,0.6712415185021359,24.63054187192118,52.77777777777778,79.88703703703703,14.503495338553122,94.58128078817734,97.22222222222221,45.0,"many jobs, poorly paid"
0116,A0116,Growing of fibre crops,Cultivo De Plantas De Fibras.,A,01,Primario,1,"Agricultura, ganadería, silvicultura y pesca",368.9166666666667,0.00012593984065477335,25.485436893203882,151,5981.323145133356,0.6036348352076012,12.068965517241379,22.22222222222222,3.7591145833333335,0.6824674297431447,38.669950738916256,41.66666666666667,64.0,"few jobs, poorly paid"
0119,A0119,Growing of other non-perennial crops,Cultivo De Otras Plantas No Perennes.,A,01,Primario,1,"Agricultura, ganadería, silvicultura y pesca",48844.50000000001,0.01667441214419357,97.0873786407767,1329,7281.434643768869,0.7348420231805323,36.45320197044335,72.22222222222221,86.51666666666668,15.707104910217286,95.32019704433498,100.0,715.0,"many jobs, poorly paid"
0121,A0121,Growing of grapes,Cultivo De Uvas.,A,01,Primario,1,"Agricultura, ganadería, silvicultura y pesca",51.58333333333331,1.760938815570469e-05,7.038834951456311,35,6311.487471910112,0.636955002693866,18.7192118226601,38.88888888888889,2.3733333333333335,0.4308787785041305,20.44334975369458,25.0,25.0,"few jobs, poorly paid"
0122,A0122,Growing of tropical and subtropical fruits,Cultivo De Frutas Tropicales Y Subtropicales.,A,01,Primario,1,"Agricultura, ganadería, silvicultura y pesca",55873.91666666667,0.019074096666161514,98.05825242718447,5647,5918.553079331831,0.5973000832795261,10.344827586206897,16.666666666666664,23.234380138112463,4.21820280893702,84.23645320197043,91.66666666666666,3041.0,"many jobs, poorly paid"
0123,A0123,Growing of citrus fruits,Cultivo De Cítricos.,A,01,Primario,1,"Agricultura, ganadería, silvicultura y pesca",148.75,5.077989960893843e-05,14.077669902912621,215,5427.0718535469105,0.5476998223446697,1.9704433497536946,5.555555555555555,1.4006410256410255,0.2542864442068726,5.665024630541872,5.555555555555555,78.0,"few jobs, poorly paid"
