codigo_clase,clase,codigo_seccion,seccion,codigo_division,gsectores,gsectores_label,total_plazas_equiv,n_establecimientos,n_matrices,n_provincias_present,n_cantones_present,effnum_industry_prov,effnum_industry_canton,ren_prov_pop,ren_prov_con,ren_canton_pop,ren_canton_con,tradable_prov_pop,tradable_prov_con,tradable_canton_pop,tradable_canton_con,tradability_pctile
99999, ,X,Actividades No Válidas,X, ,Otros / No clasificado,3.0,1,0,1,1,1.0,1.0,0.1259445052611807,0.19925121732232648,0.0586677037930691,0.13831102017923017,True,True,True,True,0.992822966507177
A0170,"Caza ordinaria, mediante trampas y actividades de servicios conexas.",A,"Agricultura, ganadería,  silvicultura y pesca.",A01,1,"Agricultura, ganadería, silvicultura y pesca",5.0,2,1,2,2,1.0,1.0,0.1259445052611807,0.19925121732232648,0.0586677037930691,0.13831102017923017,True,True,True,True,0.992822966507177
A0230,Recolección de productos forestales distintos de la madera.,A,"Agricultura, ganadería,  silvicultura y pesca.",A02,1,"Agricultura, ganadería, silvicultura y pesca",17.0833333333333,2,2,2,2,1.0,1.0,0.1259445052611807,0.19925121732232648,0.0586677037930691,0.13831102017923017,True,True,True,True,0.992822966507177
K6491,Arrendamiento financiero.,K,Actividades financieras y de seguros.,K64,6,Servicios,1.0,5,4,2,2,1.0,1.0,0.1259445052611807,0.19925121732232648,0.0586677037930691,0.13831102017923017,True,True,True,True,0.992822966507177
C2652,Fabricación de relojes.,C,Industrias manufactureras.,C26,3,Industrias manufactureras,1.0,3,2,2,2,1.0,1.0,0.1259445052611807,0.19925121732232648,0.0586677037930691,0.13831102017923017,True,True,True,True,0.992822966507177
K6613, ,K,Actividades financieras y de seguros.,K66,6,Servicios,1.0,1,1,1,1,1.0,1.0,0.1259445052611807,0.19925121732232648,0.0586677037930691,0.13831102017923017,True,True,True,True,0.992822966507177
C2030,Fabricación de fibras artificiales.,C,Industrias manufactureras.,C20,3,Industrias manufactureras,5.5,17,15,9,9,1.0,1.0,0.1259445052611807,0.19925121732232648,0.0586677037930691,0.13831102017923017,True,True,True,True,0.992822966507177
O8421,Relaciones exteriores.,O,Administración pública y defensa; planes de seguridad social de afiliación obligatoria.,O84,6,Servicios,1170.5,77,12,5,5,1.0136184639179937,1.0136184639179937,0.12765967596174965,0.20196471283604692,0.05946666780032655,0.1401946038170019,True,True,True,True,0.9832535885167464
B0610,Extracción de petróleo crudo.,B,Explotación de minas y canteras.,B06,2,Explotación de minas y canteras,7521.476702677747,57,29,8,13,1.0154039263204215,1.0154039521394045,0.12788454514068587,0.2023204683932139,0.0595714182944263,0.14044155651442322,True,True,True,True,0.9808612440191388
C1200,Elaboración de productos de tabaco.,C,Industrias manufactureras.,C12,3,Industrias manufactureras,9.583333333333334,7,5,5,6,1.0175425098099564,1.0175425098099564,0.12815388798023505,0.20274658375684915,0.05969688256238663,0.1407373426075494,True,True,True,True,0.9784688995215312
C2731,Fabricación de cables de fibra óptica.,C,Industrias manufactureras.,C27,3,Industrias manufactureras,108.666666666667,8,6,3,5,1.037486821039478,1.0571150058686614,0.13066576439081218,0.2067205120479867,0.06201851003951113,0.14621065490846744,True,True,True,True,0.9760765550239234
J5819,Otras publicaciones.,J,Información y comunicación.,J58,6,Servicios,1567.6666666666665,140,113,14,23,1.0797452334489175,1.0798648192216613,0.13598797923484196,0.2151405521626764,0.06335318935065254,0.14935720480220793,True,True,True,True,0.9736842105263158
D3520,Fabricación de gas; distribución de combustibles gaseosos por tuberías.,D,"Suministro de electricidad, gas, vapor y aire acondicionado.",D35,6,Servicios,3840.77296398892,124,47,20,52,1.099575488389039,1.09971036552116,0.13848549088247866,0.2190917545993077,0.06451748198256316,0.15210206255690573,True,True,True,True,0.9712918660287081
K6614, ,K,Actividades financieras y de seguros.,K66,6,Servicios,94.58333333333334,10,8,5,6,1.1209179131945015,1.271880069230321,0.14117345201567658,0.22334425872240632,0.07461828316191269,0.17591502992087557,True,True,True,True,0.9688995215311005
B0910,Actividades de apoyo para la extracción de petróleo y gas natural.,B,Explotación de minas y canteras.,B09,2,Explotación de minas y canteras,6388.666666666672,307,193,17,34,1.1380527184700755,1.147648132566479,0.14333148658885542,0.22675838953214544,0.06732988070007909,0.15873238402205808,True,True,True,True,0.9665071770334929
C2520,Fabricación de armas y municiones.,C,Industrias manufactureras.,C25,3,Industrias manufactureras,13.91666666666667,6,5,3,3,1.1539161736108239,1.1539161736108239,0.14532940159828991,0.2299192022798777,0.06769761227543152,0.15959932317342673,True,True,True,True,0.9641148325358851
H4930,Transporte por tuberías.,H,Transporte y almacenamiento.,H49,6,Servicios,290.916666666667,69,18,18,36,1.1591442002134134,1.1594776895503183,0.14598784282224533,0.23096089294463715,0.0680238936452102,0.16036854211676124,True,True,True,True,0.9617224880382775
D3530,Suministro de vapor y de aire acondicionado.,D,"Suministro de electricidad, gas, vapor y aire acondicionado.",D35,6,Servicios,5973.083333333334,313,236,19,63,1.1716840634053405,1.5364025629272549,0.1475671696879955,0.23345947595068406,0.0901372104687284,0.2125014058844525,True,True,True,True,0.9593301435406698
C2630,Fabricación de equipo de comunicaciones.,C,Industrias manufactureras.,C26,3,Industrias manufactureras,3080.500000000003,175,157,21,67,1.179924860014448,1.186731403624407,0.14860505273988756,0.23510146470675444,0.06962280646976984,0.1641380311140215,True,True,True,True,0.9569377990430622
B0620,Extracción de gas natural.,B,Explotación de minas y canteras.,B06,2,Explotación de minas y canteras,384.3333333333329,53,15,13,26,1.1866683700993998,1.1866683700993998,0.1494543607812606,0.23644511730020648,0.06961910843759568,0.16412931288287227,True,True,True,True,0.9545454545454546
O8430,Actividades de planes de seguridad social de afiliación obligatoria.,O,Administración pública y defensa; planes de seguridad social de afiliación obligatoria.,O84,6,Servicios,6771.916666666664,160,17,24,74,1.1887481718787836,1.2334129084482257,0.14971630038740638,0.23685952033653782,0.07236150316738836,0.17059459766970553,True,True,True,True,0.9521531100478469
P8550,Actividades de apoyo a la enseñanza.,P,Enseñanza.,P85,6,Servicios,5145.750000000003,274,221,19,45,1.1964062283103287,1.1978925494550194,0.15068079051593955,0.23838539740284626,0.07027760526735145,0.16568174058022267,True,True,True,True,0.9497607655502392
G4723,Venta al por menor de tabaco en comercios especializados.,G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,4,Comercio,135.75000000000034,68,31,12,20,1.1967413024958629,1.1967413024958629,0.15072299126846245,0.23845216134220723,0.07021006425175899,0.1655225104388235,True,True,True,True,0.9473684210526315
T9820,Actividades no diferenciadas de los hogares como productores de servicios para uso propio.,T,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio.,T98, ,Otros / No clasificado,17.91666666666667,3,3,3,3,1.2029928432010417,1.2029928432010417,0.15151033846969633,0.2396977884378542,0.07057682779010073,0.16638716741144874,True,True,True,True,0.9449760765550239
