id_code,id_name,id_abbr,region,year,tasa_desempleo,tasa_informalidad,tasa_subempleo,tasa_empleo_adecuado,empleo_total,gva_per_worker
01,AZUAY,AZU,Sierra,2023,0.0298,0.4786,0.1749,0.4024,436346.0,11467.309772519968
02,BOLÍVAR,BOL,Sierra,2023,0.0071,0.7654,0.1712,0.1954,107434.0,4417.705754230503
03,CAÑAR,CAÑ,Sierra,2023,0.0276,0.6023,0.1584,0.2851,157215.0,5136.780396272619
04,CARCHI,CAR,Sierra,2023,0.0454,0.6282,0.1822,0.2766,88139.0,6721.650234289019
05,COTOPAXI,COT,Sierra,2023,0.0141,0.6982,0.2078,0.2173,304844.0,5555.206761491124
06,CHIMBORAZO,CHI,Sierra,2023,0.0177,0.7494,0.1523,0.1619,350367.0,3872.9777347752492
07,EL ORO,ORO,Costa,2023,0.0564,0.4195,0.2429,0.4014,337095.0,11900.12228006942
08,ESMERALDAS,ESM,Costa,2023,0.0905,0.6366,0.2301,0.245,232521.0,7765.470946710192
09,GUAYAS,GUA,Costa,2023,0.0308,0.4946,0.2087,0.418,1829353.0,19631.02663619323
10,IMBABURA,IMB,Sierra,2023,0.056,0.5466,0.1888,0.3101,231569.0,7148.950032171838
11,LOJA,LOJ,Sierra,2023,0.0357,0.6216,0.2074,0.2693,290853.0,6500.028124172692
12,LOS RÍOS,RIO,Costa,2023,0.0197,0.565,0.2332,0.3268,388899.0,10042.424511248422
13,MANABÍ,MAN,Costa,2023,0.019,0.5977,0.2506,0.3097,681171.0,8666.763279705097
14,MORONA SANTIAGO,MOR,Amazonia,2023,0.0056,0.8079,0.2319,0.1657,92831.0,5640.796178000883
15,NAPO,NAP,Amazonia,2023,0.0077,0.8635,0.2334,0.102,67404.0,7339.3490000593465
16,PASTAZA,PAS,Amazonia,2023,0.0105,0.841,0.1625,0.1192,52221.0,17806.07571666571
17,PICHINCHA,PIC,Sierra,2023,0.0754,0.2961,0.1421,0.5362,1473566.0,20569.516540148186
18,TUNGURAHUA,TUN,Sierra,2023,0.0199,0.5518,0.1968,0.2901,367318.0,7494.5688204770795
19,ZAMORA CHINCHIPE,ZAM,Amazonia,2023,0.0252,0.6987,0.2052,0.2811,59084.0,28040.66481619389
20,GALÁPAGOS,GAL,Isla,2023,0.0424,0.1491,0.1026,0.5518,16683.0,16910.330276329198
21,SUCUMBIOS,SUC,Amazonia,2023,0.0274,0.7489,0.1165,0.21,91693.0,33859.064814107944
22,ORELLANA,ORE,Amazonia,2023,0.0126,0.7949,0.2124,0.1503,87391.0,66628.35784005222
23,SANTO DOMINGO DE LOS TSACHILAS,SDT,Costa,2023,0.0192,0.5505,0.1975,0.3169,219274.0,9135.049116630335
24,SANTA ELENA,SEL,Costa,2023,0.0286,0.6199,0.2745,0.2906,146375.0,8317.474295473956
99,ECUADOR,ECU,Nacional,2023,0.0385,0.5246,0.1955,0.3631,8109647.0,14071.072292049208
