id_code,id_name,id_abbr,region,year_gva,gva_real,year_enemdu,tasa_desempleo,tasa_informalidad,tasa_subempleo,gva_per_worker,year_reem,num_empresas,avg_sales_per_firm_M,formal_wage_per_fte,year_census,share_working_age,avg_schooling,share_nbi_poor,share_rural,net_migration_rate,year_malnutrition,malnutrition,rank_gva_real,rank_gva_per_worker,rank_tasa_desempleo,rank_tasa_informalidad,rank_tasa_subempleo,rank_num_empresas,rank_avg_sales_per_firm_M,rank_formal_wage_per_fte,rank_share_working_age,rank_avg_schooling,rank_net_migration_rate,rank_share_nbi_poor,rank_share_rural,rank_malnutrition,avg_rank_economic,avg_rank_socioeconomic,avg_rank_overall,z_gva_real,z_gva_per_worker,z_tasa_desempleo,z_tasa_informalidad,z_tasa_subempleo,z_num_empresas,z_avg_sales_per_firm_M,z_formal_wage_per_fte,z_share_working_age,z_avg_schooling,z_net_migration_rate,z_share_nbi_poor,z_share_rural,z_malnutrition,z_economic,z_socioeconomic,z_overall
01,AZUAY,AZU,Sierra,2023,4715.280065162906,2023,0.0298,0.4786,0.1749,11467.309772519968,2024,69170,0.16106080988868,10350.646125192368,2022,0.6544188001881216,11.5847802122089,0.2574673658652582,0.4758778905925457,0.0055026827293605,2023,0.210837612,5.0,8.0,16.0,3.0,7.0,4.0,4.0,3.0,7.0,5.0,11.0,2.0,8.0,14.0,6.25,7.833333333333333,6.928571428571429,0.006016890393815516,-0.15604469407213462,-0.006949286113409821,1.1018512011195614,0.6357740418969657,0.311944784802105,0.5033998993254849,0.8085639327840205,0.6130479926058776,0.7744394103279184,0.22711652033835122,1.50794603112378,0.15332592002929266,-0.13395921581927922,0.4005695962670511,0.5236527764343234,0.4533195306244536
02,BOLÍVAR,BOL,Sierra,2023,447.2532250626565,2023,0.0071,0.7654,0.1712,4417.705754230503,2024,8814,0.0356518922169276,9729.15568852211,2022,0.6316569384864225,10.544037417545178,0.5856255635083336,0.6776539848702519,-0.4986588171470479,2023,0.243060684,23.0,22.0,2.0,19.0,6.0,20.0,20.0,10.0,16.0,22.0,23.0,16.0,23.0,18.0,15.25,19.666666666666668,17.142857142857142,-0.49295862863391016,-0.6629897357911799,1.0296856509755383,-0.9345869101872326,0.7326311327767221,-0.5166997003637137,-0.8079458670511995,0.1619626580494069,-0.33555132001801,-0.9727688711369239,-2.2011637134392044,-0.8259566011170186,-1.2080742066149335,-0.5622875190020333,-0.1863626750281961,-1.017633705221354,-0.5426216879681209
03,CAÑAR,CAÑ,Sierra,2023,761.0267611027567,2023,0.0276,0.6023,0.1584,5136.780396272619,2024,14055,0.0653948005691924,9314.164495129044,2022,0.6179287980384747,10.315227278167413,0.3918383710223843,0.5557654957860602,-0.0016565748886096,2023,0.197004197,19.0,21.0,14.0,10.0,4.0,15.0,15.0,13.0,20.0,23.0,13.0,8.0,15.0,13.0,13.875,15.333333333333334,14.5,-0.4562753276921812,-0.6112802605549241,0.09351753598331645,0.22351300597085033,1.0677043120364185,-0.4447445385446062,-0.49693738638190643,-0.26979593197691853,-0.9076708049349821,-1.3568973728702758,0.1926341495771965,0.5522824369015862,-0.38568241104717566,0.04992279189782694,-0.1117873238949939,-0.3092352017459707,-0.19640784297398395
04,CARCHI,CAR,Sierra,2023,558.2888804010023,2023,0.0454,0.6282,0.1822,6721.650234289019,2024,9240,0.0717640126623376,9147.163675814922,2022,0.661576827828824,10.658520972964832,0.3335797783159464,0.491072048510658,-0.409968292174879,2023,0.222753903,20.0,17.0,19.0,13.0,8.0,19.0,13.0,17.0,3.0,17.0,22.0,5.0,11.0,15.0,15.75,12.166666666666666,14.214285714285714,-0.4799774371305002,-0.4973104681994906,-0.7193503882538325,0.03960872743930906,0.4446776193504197,-0.5108510266497394,-0.4303373433501785,-0.4435442896005265,0.9113583939561418,-0.7805728577257632,-1.7739881977243634,0.9666249212422914,0.05080967008393959,-0.2923576672227309,-0.3246355757993173,-0.1530209562317475,-0.25108645312750166
05,COTOPAXI,COT,Sierra,2023,1595.8527949874688,2023,0.0141,0.6982,0.2078,5555.206761491124,2024,25771,0.0785982893562531,8661.831152423723,2022,0.6482720486591098,10.587957253830416,0.4856153041565811,0.6672103953552668,-0.1648327343102018,2023,0.281866932,13.0,20.0,6.0,15.0,14.0,12.0,11.0,21.0,10.0,19.0,18.0,13.0,21.0,21.0,14.0,17.0,15.285714285714286,-0.3586757180454674,-0.5811907448003197,0.7100184897586821,-0.457429863186478,-0.22546873916897464,-0.2838922821292915,-0.35887432480894127,-0.9484862963934907,0.3568824666175026,-0.8990358584544373,-0.5932994106893497,-0.11467097964363569,-1.1376104376574836,-1.078123326299648,-0.3129999348467851,-0.5776429243545086,-0.42641835892152385
06,CHIMBORAZO,CHI,Sierra,2023,1278.7426311779448,2023,0.0177,0.7494,0.1523,3872.977734775249,2024,29303,0.0503394316622871,9912.57063398892,2022,0.6450385965804468,11.005715562132655,0.4275450705063366,0.5239430173350879,-0.2556316256756785,2023,0.401176594,16.0,23.0,7.0,18.0,3.0,10.0,19.0,6.0,11.0,12.0,20.0,10.0,12.0,23.0,12.75,14.666666666666666,13.571428571428571,-0.3957491045315064,-0.7021617471313689,0.5456182354185846,-0.8209780894727671,1.2273876240273685,-0.23540046157117514,-0.654364741978616,0.3527883418356596,0.22212853218897435,-0.1976994863373854,-1.0306298161363205,0.2983318712513302,-0.17097349645365167,-2.6640585554971596,-0.08535749292547762,-0.5904834918307021,-0.3018400638848595
07,EL ORO,ORO,Costa,2023,3780.234001804512,2023,0.0564,0.4195,0.2429,11900.12228006942,2024,45848,0.1427710105348106,7997.84724219619,2022,0.6579166853253325,11.55358609067768,0.3658355095049561,0.2146217701849447,0.029024954099682,2023,0.098271579,6.0,7.0,21.0,2.0,21.0,6.0,6.0,23.0,6.0,7.0,10.0,6.0,2.0,1.0,11.5,5.333333333333333,8.857142857142858,-0.10329945466649984,-0.1249206544626843,-1.2216844987374635,1.5214937826336186,-1.144302222920175,-0.008249507116465224,0.3121515304227847,-1.63929796045806,0.7588221599512457,0.7220704410188599,0.340410904451588,0.7372180788486654,1.9160427407839355,1.362335672231864,-0.3010136231631181,0.9728166662143597,0.24491364371294383
08,ESMERALDAS,ESM,Costa,2023,1701.5508429072686,2023,0.0905,0.6366,0.2301,7765.470946710192,2024,17569,0.1260500303944447,9609.57804018286,2022,0.6121068784979238,10.658486491064624,0.6297115865013398,0.5512077992417403,-0.1500523560209424,2023,0.151707773,12.0,13.0,23.0,14.0,17.0,13.0,7.0,11.0,21.0,18.0,17.0,21.0,14.0,7.0,13.75,16.333333333333332,14.857142857142858,-0.3463185468521014,-0.4222481337431573,-2.77892024123672,-0.020035903435785863,-0.8092290436604777,-0.39649984504482677,0.13730761243180487,0.03755356776609172,-1.1502989759824276,-0.7806307462472242,-0.522110118257536,-1.1395019760228062,-0.35493125256700825,0.6520298918095482,-0.5747988167218965,-0.5492405295445757,-0.5638452650744733
09,GUAYAS,GUA,Costa,2023,33841.95771609021,2023,0.0308,0.4946,0.2087,19631.02663619323,2024,237738,0.3285720028056095,9755.57275535044,2022,0.6590088214205941,11.789549578712908,0.3911442563022973,0.1474208450375837,0.0774371499682485,2023,0.171462957,1.0,5.0,17.0,4.0,15.0,2.0,2.0,8.0,5.0,2.0,8.0,7.0,1.0,8.0,6.75,5.166666666666667,6.071428571428571,3.411220194617493,0.43101746932034285,-0.05261602343010361,0.988242380405096,-0.2490285720856717,2.6262622275655705,2.2549905974230398,0.18944708593129586,0.8043368706033868,1.1182080482474486,0.5735869369931964,0.5572190686356806,2.3694529841218386,0.3894321965375673,1.1999419199683827,0.9687060175231864,1.1008408189204413
10,IMBABURA,IMB,Sierra,2023,1560.0468144360905,2023,0.056,0.5466,0.1888,7148.950032171838,2024,31490,0.063040146363925,8980.660270947923,2022,0.6610020877715327,11.069666146471963,0.326615683102214,0.4772526544067728,-0.0838492462953228,2023,0.223053642,15.0,16.0,20.0,5.0,9.0,8.0,16.0,18.0,4.0,10.0,15.0,4.0,10.0,17.0,13.375,10.0,11.928571428571429,-0.3628617994360664,-0.4665828538111854,-1.2034178038107861,0.6190137130830832,0.2719055112946386,-0.20537452398323616,-0.5215589673721869,-0.6167751351328711,0.8874061342320068,-0.0903386752560485,-0.2032446301138799,1.0161544477549396,0.14405027398462925,-0.29634197688965813,-0.3107064823960763,0.24294759561866486,-0.07342616324690152
