margen,rank,opportunity_hs4_code,opportunity_product_name,opportunity_sector,opportunity_priority_score,opportunity_accessible_market_busd,route,anchor_hs4_code,anchor_product_name,isic4_code,isic4_name,crosswalk_weight,crosswalk_weight_ec_mix,crosswalk_weight_used,export_value_allocated,anchor_to_candidate_proximity,anchor_density_percentile
extensivo,1,9401,Asientos,Textiles,1.0,34.483501835,ancla,7321,Estufas y aparatos similares no eléctricos de hierro o acero,2750,Manufacture of domestic appliances,1.0,1.0,1.0,77419911.0,0.4131286138211378,14.084507042253522
extensivo,1,9401,Asientos,Textiles,1.0,34.483501835,ancla,4421,Otros artículos de madera,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",1.0,1.0,1.0,55064729.0,0.420857815262901,23.943661971830984
extensivo,1,9401,Asientos,Textiles,1.0,34.483501835,ancla,7608,Tubos y caños de aluminio,2420,Manufacture of basic precious and other non-ferrous metals,1.0,1.0,1.0,11039774.0,0.3934254569594617,8.450704225352112
extensivo,1,9401,Asientos,Textiles,1.0,34.483501835,ancla,8303,Cajas de caudales,2599,Manufacture of other fabricated metal products n.e.c.,1.0,1.0,1.0,2207765.0,0.3674902976823821,0.0
extensivo,1,9401,Asientos,Textiles,1.0,34.483501835,producto,,,3100,Manufacture of furniture,0.9507143308849156,0.9998356396290377,0.9998356396290377,9050225.247854212,,
extensivo,1,9401,Asientos,Textiles,1.0,34.483501835,producto,,,2930,Manufacture of parts and accessories for motor vehicles,0.0164285563716947,5.478679032077838e-05,5.478679032077838e-05,156389.91738192868,,
extensivo,1,9401,Asientos,Textiles,1.0,34.483501835,producto,,,3020,Manufacture of railway locomotives and rolling stock,0.0164285563716947,5.478679032077838e-05,5.478679032077838e-05,156389.91738192868,,
extensivo,1,9401,Asientos,Textiles,1.0,34.483501835,producto,,,3030,Manufacture of air and spacecraft and related machinery,0.0164285563716947,5.478679032077838e-05,5.478679032077838e-05,156389.91738192868,,
extensivo,2,9403,Los demás muebles y sus partes,Textiles,0.996802266451261,33.807206454,ancla,7321,Estufas y aparatos similares no eléctricos de hierro o acero,2750,Manufacture of domestic appliances,1.0,1.0,1.0,77419911.0,0.4050598153831337,14.084507042253522
extensivo,2,9403,Los demás muebles y sus partes,Textiles,0.996802266451261,33.807206454,ancla,4421,Otros artículos de madera,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",1.0,1.0,1.0,55064729.0,0.447101307664776,23.943661971830984
extensivo,2,9403,Los demás muebles y sus partes,Textiles,0.996802266451261,33.807206454,ancla,7608,Tubos y caños de aluminio,2420,Manufacture of basic precious and other non-ferrous metals,1.0,1.0,1.0,11039774.0,0.3732172663999812,8.450704225352112
extensivo,2,9403,Los demás muebles y sus partes,Textiles,0.996802266451261,33.807206454,ancla,6811,Asbestos-cement o cellulose fibra-cement,2395,"Manufacture of articles of concrete, cement and plaster",1.0,,1.0,523489.0,0.3746019997705896,21.12676056338028
extensivo,2,9403,Los demás muebles y sus partes,Textiles,0.996802266451261,33.807206454,producto,,,3100,Manufacture of furniture,1.0,1.0,1.0,11859779.0,,
extensivo,3,8418,Refrigeradores y congeladores,Maquinaria,0.9269747662336992,20.484131134,ancla,4410,Tableros de partículas y tableros similares,1621,Manufacture of veneer sheets and wood-based panels,1.0,1.0,1.0,180402960.0,0.4224676306430076,12.676056338028168
extensivo,3,8418,Refrigeradores y congeladores,Maquinaria,0.9269747662336992,20.484131134,ancla,7321,Estufas y aparatos similares no eléctricos de hierro o acero,2750,Manufacture of domestic appliances,1.0,1.0,1.0,77419911.0,0.3964905801292221,14.084507042253522
extensivo,3,8418,Refrigeradores y congeladores,Maquinaria,0.9269747662336992,20.484131134,producto,,,2819,Manufacture of other general-purpose machinery,0.8450118320425252,0.8259083465546094,0.8259083465546094,4468399.752521408,,
extensivo,3,8418,Refrigeradores y congeladores,Maquinaria,0.9269747662336992,20.484131134,producto,,,2750,Manufacture of domestic appliances,0.1549881679574748,0.1740916534453905,0.1740916534453905,819573.2474785919,,
extensivo,4,3305,Productos capilares,Químicos,0.8020988615377299,0.970435253,ancla,2101,Extractos de café,1079,Manufacture of other food products n.e.c.,1.0,1.0,1.0,122337225.0,0.400551304981827,40.845070422535215
extensivo,4,3305,Productos capilares,Químicos,0.8020988615377299,0.970435253,ancla,7604,Barras y perfiles de aluminio,2420,Manufacture of basic precious and other non-ferrous metals,1.0,1.0,1.0,59233983.0,0.4366456493340318,28.169014084507044
extensivo,4,3305,Productos capilares,Químicos,0.8020988615377299,0.970435253,ancla,7310,"Depósitos y recipientes similares < 300 litros, de hierro o acero",2599,Manufacture of other fabricated metal products n.e.c.,1.0,1.0,1.0,9634457.0,0.4326553134288262,32.3943661971831
extensivo,4,3305,Productos capilares,Químicos,0.8020988615377299,0.970435253,producto,,,2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",1.0,1.0,1.0,1228041.0,,
extensivo,5,3303,Perfumes,Químicos,0.7863926100982582,1.814032652,ancla,1805,Cacao en polvo,1073,"Manufacture of cocoa, chocolate and sugar confectionery",1.0,1.0,1.0,13882226.0,0.2873837544035713,19.718309859154928
extensivo,5,3303,Perfumes,Químicos,0.7863926100982582,1.814032652,producto,,,2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",1.0,1.0,1.0,1121224.0,,
extensivo,6,3006,Productos farmacéuticos,Químicos,0.7501512084866201,4.849885386,ancla,3203,Materias colorantes de origen animal o vegetal,2011,Manufacture of basic chemicals,1.0,1.0,1.0,1213151.0,0.3288065280217675,2.8169014084507045
extensivo,6,3006,Productos farmacéuticos,Químicos,0.7501512084866201,4.849885386,producto,,,3250,Manufacture of medical and dental instruments and supplies,0.7410466150712471,,0.7410466150712471,482327.23349126783,,
extensivo,6,3006,Productos farmacéuticos,Químicos,0.7501512084866201,4.849885386,producto,,,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",0.208692253799045,,0.208692253799045,135832.1533069458,,
extensivo,6,3006,Productos farmacéuticos,Químicos,0.7501512084866201,4.849885386,producto,,,2220,Manufacture of plastics products,0.0502611311297078,,0.0502611311297078,32713.613201786306,,
extensivo,7,2106,Preparaciones alimenticias n.e.p.,Agricultura,0.7457391152167846,12.169701313,ancla,2309,Alimentos para animales,1080,Manufacture of prepared animal feeds,1.0,1.0,1.0,73053303.0,0.4349155401367063,38.0281690140845
extensivo,7,2106,Preparaciones alimenticias n.e.p.,Agricultura,0.7457391152167846,12.169701313,ancla,1704,Azúcar de confitería,1073,"Manufacture of cocoa, chocolate and sugar confectionery",1.0,1.0,1.0,40525820.0,0.4434926337796605,49.29577464788733
extensivo,7,2106,Preparaciones alimenticias n.e.p.,Agricultura,0.7457391152167846,12.169701313,producto,,,1079,Manufacture of other food products n.e.c.,1.0,1.0,1.0,8063133.0,,
extensivo,8,8450,Máquinas lavadoras domésticas o de lavandería,Maquinaria,0.7406075002160807,4.854722926,ancla,6910,"Fregaderos, lavabos y aparatos sanitarios similares de cerámica",2392,Manufacture of clay building materials,1.0,1.0,1.0,20275032.0,0.3317377372305459,4.225352112676056
extensivo,8,8450,Máquinas lavadoras domésticas o de lavandería,Maquinaria,0.7406075002160807,4.854722926,producto,,,2826,"Manufacture of machinery for textile, apparel and leather production",0.7501262694605592,0.0263793535995511,0.0263793535995511,1394408.972173964,,
extensivo,8,8450,Máquinas lavadoras domésticas o de lavandería,Maquinaria,0.7406075002160807,4.854722926,producto,,,2750,Manufacture of domestic appliances,0.2498737305394408,0.9736206464004488,0.9736206464004488,464490.027826036,,
extensivo,9,3604,Fuegos artificiales,Químicos,0.6956423610210359,0.697298335,ancla,6502,Formas para sombreros,1410,"Manufacture of wearing apparel, except fur apparel",1.0,1.0,1.0,3584763.0,0.2342005710640591,16.901408450704224
extensivo,9,3604,Fuegos artificiales,Químicos,0.6956423610210359,0.697298335,producto,,,2029,Manufacture of other chemical products n.e.c.,1.0,,1.0,1289.0,,
extensivo,10,9021,Aparatos ortopédicos,Maquinaria,0.6548650159133074,21.356901601,ancla,3203,Materias colorantes de origen animal o vegetal,2011,Manufacture of basic chemicals,1.0,1.0,1.0,1213151.0,0.3210399006433354,2.8169014084507045
extensivo,10,9021,Aparatos ortopédicos,Maquinaria,0.6548650159133074,21.356901601,producto,,,3250,Manufacture of medical and dental instruments and supplies,0.6956713821076662,,0.6956713821076662,246816.5539865968,,
extensivo,10,9021,Aparatos ortopédicos,Maquinaria,0.6548650159133074,21.356901601,producto,,,2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",0.3043286178923337,,0.3043286178923337,107972.44601340317,,
extensivo,11,6911,Artículos domésticos de porcelana o loza,Piedra,0.6451995403205963,0.65880345,ancla,6501,Cascos y formas para sombreros,1410,"Manufacture of wearing apparel, except fur apparel",1.0,1.0,1.0,3865006.0,0.2536852073869608,11.267605633802818
extensivo,11,6911,Artículos domésticos de porcelana o loza,Piedra,0.6451995403205963,0.65880345,producto,,,2393,Manufacture of other porcelain and ceramic products,1.0,,1.0,342025.0,,
extensivo,12,3901,Polímeros de etileno,Químicos,0.6213902513947198,5.208593436,ancla,6807,Productos de asfalto,2399,Manufacture of other non-metallic mineral products n.e.c.,1.0,1.0,1.0,3973153.0,0.4011032254947061,7.042253521126761
extensivo,12,3901,Polímeros de etileno,Químicos,0.6213902513947198,5.208593436,producto,,,2013,Manufacture of plastics and synthetic rubber in primary forms,1.0,1.0,1.0,1818659.0,,
extensivo,13,8421,Centrífugas,Maquinaria,0.6131444657153139,21.835776886,ancla,7608,Tubos y caños de aluminio,2420,Manufacture of basic precious and other non-ferrous metals,1.0,1.0,1.0,11039774.0,0.3729846396729958,8.450704225352112
extensivo,13,8421,Centrífugas,Maquinaria,0.6131444657153139,21.835776886,producto,,,2819,Manufacture of other general-purpose machinery,0.9982441085599282,1.0,1.0,12688373.404719811,,
extensivo,13,8421,Centrífugas,Maquinaria,0.6131444657153139,21.835776886,producto,,,2825,"Manufacture of machinery for food, beverage and tobacco processing",0.0010508591595811,0.0,0.0,13357.147112814211,,
extensivo,13,8421,Centrífugas,Maquinaria,0.6131444657153139,21.835776886,producto,,,2826,"Manufacture of machinery for textile, apparel and leather production",0.0007050322804906,0.0,0.0,8961.448167373626,,
extensivo,14,4818,Papel higiénico,Agricultura,0.5989351748805832,1.409620114,ancla,2309,Alimentos para animales,1080,Manufacture of prepared animal feeds,1.0,1.0,1.0,73053303.0,0.4280238194168744,38.0281690140845
extensivo,14,4818,Papel higiénico,Agricultura,0.5989351748805832,1.409620114,ancla,7604,Barras y perfiles de aluminio,2420,Manufacture of basic precious and other non-ferrous metals,1.0,1.0,1.0,59233983.0,0.436618396000852,28.169014084507044
extensivo,14,4818,Papel higiénico,Agricultura,0.5989351748805832,1.409620114,ancla,1704,Azúcar de confitería,1073,"Manufacture of cocoa, chocolate and sugar confectionery",1.0,1.0,1.0,40525820.0,0.4483027479447087,49.29577464788733
extensivo,14,4818,Papel higiénico,Agricultura,0.5989351748805832,1.409620114,producto,,,1709,Manufacture of other articles of paper and paperboard,1.0,,1.0,12379602.0,,
