hs_code,export_value,import_value,national_export_share,year
270900,11126686509,895486,0.32234626346954715,2024
030617,5794160438,2039996,0.16786003322926682,2024
080390,3277144202,288962,0.09494068045425066,2024
180100,2668453688,386119,0.07730657953493825,2024
160414,1304744395,20013962,0.03779916691019311,2024
710812,1044636959,1705,0.030263710597352333,2024
260300,965552469,0,0.02797258917236434,2024
271019,812924474,3206331728,0.023550871723121633,2024
261690,726982097,1342,0.021061073517947705,2024
060311,718184943,1006484,0.020806215099965636,2024
000000,540148161,57892972,0.015648391035144368,2024
081090,247469772,4398,0.007169336195581384,2024
080310,232261341,9927,0.006728739536178869,2024
060319,202296044,855726,0.005860628305230443,2024
071080,188267355,972060,0.005454209424203413,2024
441019,174494333,2889741,0.005055197357601845,2024
180310,170704379,139763,0.0049454002936121936,2024
440722,131012484,303900,0.0037955041378315364,2024
030616,125698037,85135,0.003641541668279502,2024
200899,122124735,1949305,0.003538021132582143,2024
210111,121561849,31880798,0.0035217140137725534,2024
230120,99369595,37658663,0.002878792138596074,2024
240110,80223986,0,0.0023241332544793156,2024
740400,79300641,9813558,0.002297383439033132,2024
732111,77136040,8166674,0.0022346737506018046,2024
200891,74475413,58171,0.002157593914547965,2024
151110,71811962,2421992,0.002080432265651883,2024
080450,70603545,503387,0.002045423756663335,2024
854449,67856239,71215511,0.0019658327820285103,2024
880330,66975949,3517822,0.0019403302937504334,2024
080430,66444403,0,0.0019249311120781906,2024
230990,58941404,325385220,0.0017075650803750906,2024
441231,58556072,399419,0.0016964017991687064,2024
151190,57097029,10728062,0.0016541325163133861,2024
442190,54994185,2694327,0.0015932119623361467,2024
160420,53482830,1791087,0.0015494271719017298,2024
030487,53142860,393180,0.001539578052929689,2024
030389,52831670,3106811,0.0015305627064787983,2024
880240,46304735,20318175,0.0013414737888161313,2024
999999,45023894,863801598,0.001304367116482491,2024
200799,44669070,10784359,0.0012940876689131896,2024
390760,44376924,65749933,0.0012856240376774753,2024
160521,44081667,0,0.0012770702790507497,2024
071450,43597816,0,0.0012630528479134703,2024
160413,43524337,209726,0.0012609241206347499,2024
392020,39643723,13189994,0.0011485005862918167,2024
440349,39267109,0,0.0011375898703682465,2024
071440,39224910,0,0.0011363673419936807,2024
100630,38951528,692792,0.0011284473142182461,2024
081190,37633870,259944,0.0010902740330273725,2024
170490,36382084,45000971,0.0010540091001170128,2024
711291,35679179,3279,0.0010336455534186502,2024
180400,34559654,922089,0.0010012122948453233,2024
780110,32264422,546554,0.000934718154078682,2024
760429,31852572,8967482,0.0009227866317424906,2024
160419,29157052,0,0.0008446959261757778,2024
150420,28373417,19718651,0.000821993586717428,2024
401120,28240229,71208764,0.000818135056677577,2024
850421,28199719,6489361,0.0008169614595673691,2024
030279,27440555,0,0.0007949680585164225,2024
760421,27245974,5382276,0.0007893309393038488,2024
760200,26781061,8065911,0.0007758621525031064,2024
200989,25888730,744415,0.0007500108297939258,2024
030479,24814546,389044,0.0007188911250733251,2024
401110,24792659,76585088,0.0007182570465753957,2024
151620,24006431,7992377,0.0006954795864725935,2024
440399,23794329,1522,0.0006893348741973698,2024
300490,23461936,338376038,0.0006797052651069396,2024
030259,23308637,0,0.0006752641082716457,2024
170114,21253375,1258969,0.0006157220311568578,2024
850710,20343198,19230252,0.0005893536999552366,2024
340220,19631607,30074254,0.0005687385150317626,2024
530500,19454651,351890,0.0005636120018193719,2024
030489,18143517,5518429,0.0005256277245175874,2024
480519,17612357,16344491,0.0005102397254788805,2024
060420,17392386,4468182,0.0005038670439205113,2024
060390,17175246,253397,0.0004975763779982566,2024
060312,17074284,860511,0.0004946514530058891,2024
030247,16967910,0,0.0004915697393795931,2024
252310,16083667,27060,0.00046595273050470924,2024
710813,15563623,152300,0.00045088676813539444,2024
030343,15561487,60608064,0.0004508248870337552,2024
071490,15093420,124077,0.0004372647271082141,2024
630533,15088980,3584967,0.0004371360978519978,2024
160415,14938150,222827,0.0004327664693125593,2024
190531,14204008,24609139,0.0004114979694438298,2024
230910,14066486,18677868,0.00040751388102640187,2024
180500,13871998,5223353,0.00040187945607527597,2024
691090,13853704,517016,0.0004013494687750009,2024
110630,13817593,509113,0.0004003033131283281,2024
240120,13591836,0,0.0003937630079491328,2024
350300,13507950,2899630,0.0003913327841232405,2024
701090,13409548,15496370,0.0003884820237470698,2024
441114,12867412,5083392,0.0003727760439164192,2024
780191,12800239,2885270,0.0003708300049461898,2024
961900,12710959,32970197,0.00036824351395632653,2024
730661,12485063,4696530,0.00036169918187023626,2024
190590,12451945,20008765,0.0003607397350892966,2024
640192,12230235,730699,0.00035431667373890936,2024
180690,12089986,31045391,0.00035025358262289987,2024
071333,11797590,301317,0.000341782708748885,2024
200599,11794967,648231,0.0003417067189878365,2024
080440,11564441,410064,0.0003350282532404215,2024
760820,11016474,2942473,0.00031915334611405075,2024
210390,10870805,20962642,0.0003149332345996871,2024
392330,10819813,13271613,0.0003134559681508172,2024
392321,10702900,31896774,0.0003100689338643266,2024
160529,10498046,0,0.00030413420015871015,2024
030627,10494947,229217,0.0003040444204143375,2024
090111,10287521,56445047,0.00029803517444588584,2024
151790,10173661,2040192,0.00029473658725832056,2024
481930,10080343,3280261,0.00029203311317462817,2024
392190,9962116,25436222,0.0002886080115812303,2024
441232,9803633,527833,0.0002840166713981379,2024
731021,9614425,22116982,0.0002785352109679179,2024
854470,9506707,18275059,0.00027541456091811857,2024
760120,9080415,27124624,0.0002630646458525857,2024
842129,8806988,12760625,0.00025514331440225715,2024
030357,8623210,0,0.00024981916407592334,2024
210690,8260913,155125894,0.00023932321956254436,2024
340211,8162884,15902989,0.00023648326520271797,2024
030342,8135844,54135163,0.00023569990144413933,2024
490199,8076311,25384704,0.0002339751975003722,2024
030481,7998856,6245931,0.00023173128330212112,2024
730630,7957585,4770074,0.00023053563960092664,2024
830990,7928604,43792684,0.00022969604399858314,2024
180620,7820686,3738003,0.0002265695998381434,2024
060290,7816487,5612899,0.00022644795248524875,2024
030231,7785065,0,0.00022553763976253951,2024
940161,7426410,8504641,0.00021514720600392174,2024
271012,7277023,1365796327,0.00021081938197275353,2024
441011,7106828,15377998,0.00020588873867056074,2024
650400,6968538,1065833,0.00020188240086827373,2024
691010,6950557,6571896,0.00020136148135115086,2024
070920,6761728,0,0.00019589100076059437,2024
060314,6274967,10193,0.00018178926531349748,2024
390422,6148636,4700245,0.00017812938635695166,2024
610990,6111971,11745546,0.00017706718102380499,2024
151329,6073540,314947,0.0001759538136937038,2024
382319,6026299,495604,0.00017458521578989411,2024
151219,5998206,5975056,0.0001737713460387939,2024
890200,5733696,109247,0.00016610834501136647,2024
720720,5675441,52119,0.00016442066543459136,2024
030474,5624327,0,0.0001629398645782308,2024
720421,5604825,5610,0.00016237488084968788,2024
030499,5576861,1782631,0.0001615647482999507,2024
350691,5576194,16993685,0.00016154542494096506,2024
481910,5514370,2634054,0.00015975434945981248,2024
940360,5421149,10065553,0.00015705368551978066,2024
071029,5398293,14106,0.00015639153455579866,2024
392010,5301440,36123306,0.00015358564956653766,2024
960630,5276393,11475,0.00015286002412049032,2024
392410,5272888,32681318,0.00015275848233151776,2024
030572,5009742,0,0.0001451349971386577,2024
820719,4985098,10317289,0.00014442104682555073,2024
740322,4679959,980060,0.0001355810011920844,2024
030749,4657276,41551,0.00013492386213380633,2024
730890,4629206,31717199,0.00013411065870542975,2024
250810,4614360,3131992,0.00013368056187259474,2024
520942,4575477,4347641,0.0001325540998524463,2024
482020,4507624,7442960,0.00013058836090603962,2024
030491,4425956,0,0.00012822239376714906,2024
690890,4419002,41123178,0.00012802093254018324,2024
081040,4410632,2639756,0.00012777844900988355,2024
190532,4336025,5716078,0.0001256170429471514,2024
030571,4277006,0,0.00012390722986773008,2024
722990,4270583,1204786,0.00012372115200451445,2024
220720,4256534,26781,0.00012331414470258132,2024
060490,4230945,83863,0.0001225728172166986,2024
030354,4188224,74347,0.00012133516621336138,2024
521149,4088119,4820155,0.00011843506898508789,2024
030199,4076005,0,0.0001180841197036004,2024
851762,4015553,114965543,0.00011633279182144077,2024
520922,3977688,4868939,0.00011523582182445185,2024
220290,3962529,16416297,0.00011479665720846465,2024
854442,3960145,12608712,0.00011472759140963139,2024
391723,3896741,3218678,0.00011289074245441983,2024
650100,3804727,1989158,0.0001102250459721027,2024
170410,3789247,4309681,0.0001097765818085377,2024
680710,3722250,623049,0.0001078356416556718,2024
340120,3717990,1093642,0.00010771222709903183,2024
901580,3706166,6593691,0.00010736967927797288,2024
650200,3576012,19395,0.00010359904589653631,2024
392690,3534990,60295077,0.00010241061586308907,2024
390210,3532862,112028746,0.00010234896652587548,2024
690790,3532096,14246526,0.00010232677508212286,2024
030353,3530337,0,0.00010227581587904075,2024
382490,3466717,68786659,0.00010043270928433759,2024
380892,3454363,92354850,0.00010007480707008165,2024
842952,3450856,95894723,9.997320734000268e-05,2024
440799,3450389,336116,9.99596780916574e-05,2024
030611,3448817,0,9.991413638202406e-05,2024
843780,3448623,1456689,9.990851609470291e-05,2024
391990,3446388,31863533,9.984376690829671e-05,2024
030239,3411716,0,9.883929988768137e-05,2024
392350,3399815,17171691,9.849452133402589e-05,2024
020714,3361758,109567,9.739198899082221e-05,2024
843143,3318980,25018567,9.615268666595248e-05,2024
030439,3279602,7656,9.501188422196912e-05,2024
841370,3237995,43839525,9.38065064148988e-05,2024
850423,3235952,20296430,9.374731957470736e-05,2024
520912,3175663,690221,9.200071389271965e-05,2024
842121,3173086,18662113,9.192605677711842e-05,2024
350610,3117566,6259642,9.031761166335043e-05,2024
030799,3115259,25393,9.025077659711371e-05,2024
071410,3081510,0,8.92730493971037e-05,2024
051191,3064623,17345879,8.878382366518367e-05,2024
080610,3047420,24989758,8.828544323845184e-05,2024
410799,3011644,32118,8.724899272710164e-05,2024
481920,3004719,9517620,8.704837164617867e-05,2024
140490,2944269,1081384,8.529710170512545e-05,2024
121190,2942472,2252006,8.524504162102168e-05,2024
392329,2926084,21324422,8.477027219514938e-05,2024
030471,2861060,341267,8.288649094375079e-05,2024
392062,2825282,8245569,8.184998249129418e-05,2024
090412,2804792,352112,8.12563758561878e-05,2024
071030,2753552,0,7.977192471012383e-05,2024
030366,2750361,0,7.967947967485665e-05,2024
847989,2723955,49369073,7.8914483247008e-05,2024
611030,2719024,6896206,7.877162944916955e-05,2024
180320,2714989,2532,7.8654733267e-05,2024
090411,2706212,583923,7.840045872154717e-05,2024
410792,2700076,70841,7.822269540710047e-05,2024
848180,2679979,61183866,7.764047419940242e-05,2024
890190,2667589,165050,7.728152904523122e-05,2024
260800,2650042,0,7.677318274819795e-05,2024
200559,2624438,14935,7.60314207040172e-05,2024
521142,2620257,24388727,7.591029482108017e-05,2024
030289,2607867,262533,7.555134966690896e-05,2024
392310,2607511,9282761,7.554103614996909e-05,2024
030626,2596166,0,7.521236522389385e-05,2024
320890,2586109,16559525,7.492100837034261e-05,2024
030232,2552784,0,7.395556468489019e-05,2024
410712,2550355,44618,7.388519521116284e-05,2024
482369,2462206,2162688,7.133146991697093e-05,2024
640411,2416261,15857767,7.000041785011088e-05,2024
340111,2404578,15271964,6.96619548770534e-05,2024
310520,2386490,21555966,6.913793551073791e-05,2024
160411,2384596,34420,6.908306528297357e-05,2024
190219,2371760,5047392,6.871119926207433e-05,2024
350400,2353751,11664123,6.81894685694618e-05,2024
030211,2351392,0,6.812112703445858e-05,2024
180632,2343282,8404187,6.78861758479914e-05,2024
271600,2287592,323583282,6.627280574017908e-05,2024
901590,2282024,3476317,6.611149769995105e-05,2024
710691,2212043,69270,6.408410941633078e-05,2024
830300,2206943,619015,6.393635959500123e-05,2024
841850,2176561,28931327,6.305617624762193e-05,2024
391590,2111097,2525960,6.11596479528145e-05,2024
200520,2109299,636881,6.110755889815754e-05,2024
730429,2060453,59981167,5.9692463256458846e-05,2024
070310,1995932,189801,5.78232541933208e-05,2024
880390,1988728,1402728,5.7614550328054504e-05,2024
841869,1951291,27960917,5.652997972783599e-05,2024
880310,1924455,644293,5.5752525962110525e-05,2024
151321,1901475,8154588,5.508678264953148e-05,2024
441113,1880186,6552887,5.447002854241681e-05,2024
630140,1854146,1468343,5.3715635337040034e-05,2024
841381,1848386,5998777,5.3548764950597246e-05,2024
940350,1840664,6078269,5.332505433877238e-05,2024
940180,1829080,3646778,5.298945945048188e-05,2024
030449,1822058,0,5.278602822589833e-05,2024
070999,1810003,0,5.243678820704975e-05,2024
845012,1805294,3543687,5.2300365872022136e-05,2024
030381,1777534,0,5.149614331513814e-05,2024
320810,1756186,6236021,5.087767994538455e-05,2024
841950,1753392,7787673,5.079673621973852e-05,2024
610910,1744456,17097284,5.053785535632658e-05,2024
440729,1727429,33309,5.004457374695829e-05,2024
680221,1704853,1814673,4.939053453787281e-05,2024
850110,1704459,3579220,4.937912013991127e-05,2024
390230,1691031,23619988,4.899010355151652e-05,2024
721661,1689025,224291,4.893198862179356e-05,2024
151710,1681451,9401211,4.8712565651842576e-05,2024
854460,1680705,40026645,4.8690953619153976e-05,2024
940340,1656036,932815,4.797627904221697e-05,2024
721240,1635680,5173991,4.738655446123965e-05,2024
100850,1633775,249612,4.7331365557390075e-05,2024
691490,1612207,1566341,4.670652866593208e-05,2024
030484,1611413,0,4.668352604668979e-05,2024
847990,1602880,13606119,4.643632031621821e-05,2024
300450,1577080,19334039,4.5688880043609885e-05,2024
260700,1575087,0,4.563114173107855e-05,2024
761699,1569000,11949372,4.545479797373875e-05,2024
851660,1568562,19073972,4.544210887143633e-05,2024
261900,1559629,28691,4.5183314919684e-05,2024
721621,1515892,1482773,4.391622983429368e-05,2024
841391,1512145,32699411,4.380767717144626e-05,2024
880320,1474874,534005,4.272791568305925e-05,2024
030445,1463846,0,4.2408428422349e-05,2024
901890,1459429,67540887,4.2280465488856325e-05,2024
903010,1454488,1831379,4.213732198548587e-05,2024
847330,1447612,22261404,4.193812046166979e-05,2024
090121,1445264,4860502,4.187009760275179e-05,2024
300420,1437211,43073520,4.163679773781711e-05,2024
070690,1433404,0,4.152650684177758e-05,2024
540233,1423045,10085420,4.122640088115938e-05,2024
840710,1421448,183290,4.1180134907695985e-05,2024
200819,1419271,3070231,4.111706601337551e-05,2024
732690,1416852,33545928,4.1046986245180175e-05,2024
570292,1413443,492734,4.094822562931499e-05,2024
761510,1407737,14216000,4.078291965274511e-05,2024
392220,1381245,950019,4.001543175732109e-05,2024
010620,1375582,0,3.985137151453888e-05,2024
700719,1369784,1939599,3.9683400247074415e-05,2024
721420,1365704,7413076,3.9565200390010776e-05,2024
330499,1364277,66189532,3.9523859410591704e-05,2024
711299,1359939,0,3.9398185150801976e-05,2024
950300,1345389,107503316,3.8976663601714724e-05,2024
080550,1301728,241096,3.771178027836775e-05,2024
650500,1298733,9829800,3.762501347152814e-05,2024
870322,1293436,280208296,3.747155645121782e-05,2024
210320,1290161,2043372,3.7376677889481686e-05,2024
870324,1278846,46258027,3.704887608000249e-05,2024
441820,1274962,313951,3.693635445136642e-05,2024
391732,1274522,7456594,3.692360740795759e-05,2024
