codigo_clase,class_name,sector,phi_mass,phi_mass_noself,n_neighbors_pos
0000,,,1.163617,0.163617,79
0111,"Growing of cereals (except rice), leguminous crops and oil seeds",Primario,1.504342,0.504342,149
0112,Growing of rice,Primario,1.277873,0.277873,98
0113,"Growing of vegetables and melons, roots and tubers",Primario,1.2959,0.2959,111
0114,Growing of sugar cane,Primario,1.17493,0.17493,80
0115,Growing of tobacco,Primario,1.040858,0.040858,24
0116,Growing of fibre crops,Primario,1.048259,0.048259,22
0119,Growing of other non-perennial crops,Primario,1.25188,0.25188,88
0121,Growing of grapes,Primario,1.017581,0.017581,14
0122,Growing of tropical and subtropical fruits,Primario,1.687952,0.687952,194
0123,Growing of citrus fruits,Primario,1.165549,0.165549,75
0124,Growing of pome fruits and stone fruits,Primario,1.008535,0.008535,13
0125,Growing of other tree and bush fruits and nuts,Primario,1.233411,0.233411,95
0126,Growing of oleaginous fruits,Primario,1.450257,0.450257,134
0127,Growing of beverage crops,Primario,1.636903,0.636903,194
0128,"Growing of spices, aromatic, drug and pharmaceutical crops",Primario,1.073954,0.073954,52
0129,Growing of other perennial crops,Primario,1.234693,0.234693,74
0130,Plant propagation,Primario,1.393388,0.393388,112
0141,Raising of cattle and buffaloes,Primario,1.768956,0.768956,206
0142,Raising of horses and other equines,Primario,1.028465,0.028465,28
0144,Raising of sheep and goats,Primario,1.044657,0.044657,25
0145,Raising of swine/pigs,Primario,1.406008,0.406008,140
0146,Raising of poultry,Primario,1.448846,0.448846,129
0149,Raising of other animals,Primario,1.178896,0.178896,72
0150,Mixed farming,Primario,1.414854,0.414854,130
0161,Support activities for crop production,Primario,1.381027,0.381027,109
0162,Support activities for animal production,Primario,1.315663,0.315663,64
0163,Post-harvest crop activities,Primario,1.414946,0.414946,97
0164,Seed processing for propagation,Primario,1.176982,0.176982,44
0170,"Hunting, trapping and related service activities",Primario,1.011582,0.011582,4
0210,Silviculture and other forestry activities,Primario,1.393658,0.393658,92
0220,Logging,Primario,1.264051,0.264051,61
0230,Gathering of non-wood forest products,Primario,1.002395,0.002395,2
0240,Support services to forestry,Primario,1.127277,0.127277,33
0311,Marine fishing,Primario,1.335548,0.335548,74
0312,Freshwater fishing,Primario,1.035565,0.035565,18
0321,Marine aquaculture,Primario,1.672642,0.672642,169
0322,Freshwater aquaculture,Primario,1.241689,0.241689,78
0510,Mining of hard coal,Primario,1.082683,0.082683,15
0520,Mining of lignite,Primario,1.006159,0.006159,9
0610,Extraction of crude petroleum,Primario,1.321792,0.321792,12
0620,Extraction of natural gas,Primario,1.616305,0.616305,49
0710,Mining of iron ores,Primario,1.142573,0.142573,19
0721,Mining of uranium and thorium ores,Primario,1.050662,0.050662,3
0729,Mining of other non-ferrous metal ores,Primario,1.495902,0.495902,113
0810,"Quarrying of stone, sand and clay",Primario,1.399573,0.399573,95
0891,Mining of chemical and fertilizer minerals,Primario,1.110871,0.110871,13
0893,Extraction of salt,Primario,1.009853,0.009853,9
0899,Other mining and quarrying n.e.c.,Primario,1.198593,0.198593,24
0910,Support activities for petroleum and natural gas extraction,Primario,1.481145,0.481145,61
0990,Support activities for other mining and quarrying,Primario,1.255159,0.255159,35
1010,Processing and preserving of meat,Secundario,1.563104,0.563104,125
1020,"Processing and preserving of fish, crustaceans and molluscs",Secundario,1.327671,0.327671,62
1030,Processing and preserving of fruit and vegetables,Secundario,1.397377,0.397377,133
1040,Manufacture of vegetable and animal oils and fats,Secundario,1.173288,0.173288,50
1050,Manufacture of dairy products,Secundario,1.299786,0.299786,116
1061,Manufacture of grain mill products,Secundario,1.315504,0.315504,79
1062,Manufacture of starches and starch products,Secundario,1.024524,0.024524,10
1071,Manufacture of bakery products,Secundario,1.470269,0.470269,156
1072,Manufacture of sugar,Secundario,1.234576,0.234576,60
1073,"Manufacture of cocoa, chocolate and sugar confectionery",Secundario,1.219567,0.219567,79
1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",Secundario,1.077411,0.077411,24
1075,Manufacture of prepared meals and dishes,Secundario,1.217522,0.217522,95
1079,Manufacture of other food products n.e.c.,Secundario,1.505133,0.505133,138
1080,Manufacture of prepared animal feeds,Secundario,1.285764,0.285764,64
1101,"Distilling, rectifying and blending of spirits",Secundario,1.17702,0.17702,50
1102,Manufacture of wines,Secundario,1.08218,0.08218,29
1103,Manufacture of malt liquors and malt,Secundario,1.096622,0.096622,39
1104,Manufacture of soft drinks; production of mineral waters and other bottled waters,Secundario,1.378189,0.378189,131
1200,Manufacture of tobacco products,Secundario,1.005537,0.005537,6
1311,Preparation and spinning of textile fibres,Secundario,1.387351,0.387351,30
1312,Weaving of textiles,Secundario,1.164983,0.164983,36
1313,Finishing of textiles,Secundario,1.098552,0.098552,56
1391,Manufacture of knitted and crocheted fabrics,Secundario,1.065155,0.065155,12
1392,"Manufacture of made-up textile articles, except apparel",Secundario,1.355373,0.355373,110
1393,Manufacture of carpets and rugs,Secundario,1.05958,0.05958,18
1394,"Manufacture of cordage, rope, twine and netting",Secundario,1.18367,0.18367,20
1399,Manufacture of other textiles n.e.c.,Secundario,1.187093,0.187093,58
